,dataset,method,accuracy,time_eval
69,Coffee,TAOT,0.96,7.013
70,BeetleFly,TAOT,0.85,1.909
71,SwedishLeaf,TAOT,0.89,402.101
72,BirdChicken,TAOT,0.85,9.988
73,DistalPhalanxOutlineAgeGroup,TAOT,0.67,10.259
74,ECG200,TAOT,0.71,7.361
75,FaceFour,TAOT,0.87,15.337
76,GunPoint,TAOT,0.51,3.292
77,Herring,TAOT,0.48,58.151
78,ItalyPowerDemand,TAOT,0.67,15.928
79,MoteStrain,TAOT,0.75,10.725
80,OliveOil,TAOT,0.73,9.184
81,Plane,TAOT,0.89,14.437
82,SonyAIBORobotSurface1,TAOT,0.46,5.001
83,SonyAIBORobotSurface2,TAOT,0.73,4.026
84,UMD,TAOT,0.84,5.173
85,BeetleFly,TMW-N-I,0.88,6.198
86,BME,TMW-N-I,1.0,5.01
87,Coffee,TMW-N-I,1.0,1.709
88,SwedishLeaf,TMW-N-I,0.84,197.143
89,BirdChicken,TMW-N-I,0.88,5.124
90,DistalPhalanxOutlineAgeGroup,TMW-N-I,0.76,7.499
91,ECG200,TMW-N-I,0.88,1.858
92,FaceFour,TMW-N-I,0.96,8.054
94,GunPoint,TMW-N-I,0.98,4.784
95,Herring,TMW-N-I,0.46,51.304
96,ItalyPowerDemand,TMW-N-I,0.92,6.945
97,MoteStrain,TMW-N-I,0.98,12.436
98,OliveOil,TMW-N-I,0.83,2.741
99,Plane,TMW-N-I,1.0,4.197
100,SonyAIBORobotSurface1,TMW-N-I,0.99,3.09
101,SonyAIBORobotSurface2,TMW-N-I,0.96,3.346
102,UMD,TMW-N-I,0.97,4.025
103,BeetleFly,TMW-S-I,0.8,5.163
104,BME,TMW-S-I,0.82,40.145
105,Coffee,TMW-S-I,0.97,3.361
106,SwedishLeaf,TMW-S-I,0.87,470.264
107,BirdChicken,TMW-S-I,0.85,26.213
108,DistalPhalanxOutlineAgeGroup,TMW-S-I,0.83,30.845
109,ECG200,TMW-S-I,0.87,6.425
110,FaceFour,TMW-S-I,0.94,16.193
111,GunPoint,TMW-S-I,0.95,4.135
112,Herring,TMW-S-I,0.69,57.235
113,ItalyPowerDemand,TMW-S-I,0.94,9.148
114,MoteStrain,TMW-S-I,0.91,11.295
115,OliveOil,TMW-S-I,0.85,7.1
116,Plane,TMW-S-I,0.99,14.024
117,SonyAIBORobotSurface1,TMW-S-I,0.95,4.139
118,SonyAIBORobotSurface2,TMW-S-I,0.91,5.009
119,UMD,TMW-S-I,0.81,4.106
0,BeetleFly,Euclidean,0.75
1,BME,Euclidean,0.91
2,Coffee,Euclidean,1.0
3,SwedishLeaf,Euclidean,0.79
4,BirdChicken,Euclidean,0.55
5,DistalPhalanxOutlineAgeGroup,Euclidean,0.62
6,ECG200,Euclidean,0.88
7,FaceFour,Euclidean,0.7
8,GunPoint,Euclidean,0.91
9,Herring,Euclidean,0.42
10,ItalyPowerDemand,Euclidean,0.9
11,MoteStrain,Euclidean,0.88
12,OliveOil,Euclidean,0.82
13,Plane,Euclidean,0.94
14,SonyAIBORobotSurface1,Euclidean,0.69
15,SonyAIBORobotSurface2,Euclidean,0.86
16,UMD,Euclidean,0.54
