number,value,params_lambda,params_w,user_attrs_accuracy
97,1.0,39.283281334747855,3,1.0
98,0.75,0.0787934867540472,116,0.75
99,0.8928571428571429,0.13162740709345175,30,0.8928571428571429
100,1.0,0.024466148693428932,16,1.0
101,1.0,0.04228313328504824,10,1.0
102,1.0,0.11015471608850626,1,1.0
103,1.0,0.06962066069653354,12,1.0
104,1.0,0.019016502371110477,7,1.0
105,1.0,0.06019781007477101,14,1.0
106,0.7857142857142857,0.030043054258191836,72,0.7857142857142857
107,1.0,0.08586860958490966,5,1.0
108,1.0,0.17985049925457783,19,1.0
109,1.0,0.04272896446877543,9,1.0
110,0.8214285714285714,0.5930650995914518,24,0.8214285714285714
111,1.0,0.05248891066220502,3,1.0
112,1.0,0.12377811459459664,11,1.0
113,1.0,0.03253963051956485,8,1.0
114,1.0,0.08972674046158412,15,1.0
115,1.0,0.013394343889513771,4,1.0
116,1.0,0.05475444659298288,1,1.0
117,1.0,0.024522025484861886,12,1.0
118,0.9642857142857143,0.3172006482917822,21,0.9642857142857143
119,1.0,0.07883101173872795,6,1.0
120,1.0,0.04416724994266629,16,1.0
121,1.0,0.21844480766710972,9,1.0
122,1.0,0.15771028987619992,18,1.0
123,1.0,0.09678968142777533,13,1.0
124,1.0,0.06785286148915375,6,1.0
125,1.0,0.03625424287678,10,1.0
126,0.8571428571428571,0.020925689720220103,28,0.8571428571428571
127,1.0,0.05351920063284585,3,1.0
128,0.7142857142857143,2.3513349431370654,18,0.7142857142857143
129,0.6071428571428571,0.007669528243158359,8,0.6071428571428571
130,1.0,0.02876424030123552,14,1.0
131,1.0,0.017928110770990872,1,1.0
132,1.0,0.11637086567001774,6,1.0
133,1.0,0.03980325108122797,11,1.0
134,0.9285714285714286,0.07399293414254272,23,0.9285714285714286
135,1.0,0.023291855347241357,4,1.0
136,1.0,0.04836400800480098,9,1.0
137,1.0,0.06007651181940388,16,1.0
138,1.0,0.015292218721930404,7,1.0
139,1.0,0.03050016239326702,12,1.0
140,1.0,0.010805852723374823,19,1.0
141,0.8214285714285714,0.005239166080095627,14,0.8214285714285714
142,0.2857142857142857,0.0025566587952397424,1,0.2857142857142857
143,1.0,0.01350616976763836,4,1.0
144,1.0,0.008241271425615192,21,1.0
145,0.8928571428571429,0.09708894535269101,56,0.8928571428571429
146,1.0,0.075256453359857,8,1.0
147,1.0,0.13592447014976097,15,1.0
148,0.8571428571428571,0.038027018915071945,49,0.8571428571428571
149,1.0,0.01928680486824997,11,1.0
150,0.39285714285714285,0.006397460816174762,5,0.39285714285714285
151,1.0,0.16254226331485863,3,1.0
152,1.0,0.24255039009183998,7,1.0
153,1.0,0.05696314465299382,10,1.0
154,1.0,0.09807645703162543,1,1.0
155,1.0,0.18712192436553265,14,1.0
156,0.7857142857142857,0.009716671527757913,104,0.7857142857142857
157,1.0,0.08009056061611561,4,1.0
158,0.75,0.0040797602956298175,131,0.75
159,1.0,0.02604699552596504,17,1.0
160,1.0,0.11338926831845665,8,1.0
161,1.0,0.04759442402838971,6,1.0
162,1.0,0.05578715511917427,10,1.0
163,1.0,0.033172951734655176,12,1.0
164,1.0,0.06858606106783029,5,1.0
165,1.0,0.045105342433717596,8,1.0
166,1.0,0.08795190168414324,13,1.0
167,1.0,0.04033561064482773,1,1.0
168,1.0,0.13285513934474835,17,1.0
169,1.0,0.023710922189647304,5,1.0
170,1.0,0.06319399774719478,10,1.0
171,1.0,0.05016564032816467,13,1.0
172,0.9642857142857143,0.03179354863163234,21,0.9642857142857143
173,1.0,0.014899925564755065,8,1.0
174,1.0,0.0363013745676373,3,1.0
175,0.75,0.0767711952757508,83,0.75
176,1.0,0.10718383638435125,15,1.0
177,1.0,0.021049556127733682,6,1.0
178,1.0,0.060215710690504076,11,1.0
179,1.0,0.026444793003598872,18,1.0
180,0.8214285714285714,0.0457712329567778,64,0.8214285714285714
181,1.0,0.3965773116165729,1,1.0
